ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Collections,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Seller,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Meta: condition
,,200107,,Mumy's handsome little Man Shirt เสื้อยืด สกรีนMumy's handsome little Man,,,,,,,,,,1,1,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200106,,Adidas Shirt เสื้อยืด สกรีนAdidas,,,,,,,,,,1,1,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200105,,Mickey Mouse Bodysuit ชุดบอดี้สูทขาสั้นลายมิกกี้เม้าส์,,,,,,,,,,1,1,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200104,,Minnie Mouse Bodysuit ชุดบอดี้สูทขาสั้นลายมินนี่ เมาส์,,,,,,,,,,1,1,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200103,,Circle Pants กางเกงขาสั้น ลายวางกลม,,,,,,,,,,1,1,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200102,,Boat Pajamas ชุดนอนคอวีขายาว ลายเรือ,,,,,,,,,,1,1,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200101,,Anchor Pajamas ชุดนอนคอวีขายาว ลายสมอเรือ,,,,,,,,,,1,1,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200100,,Little nugget Bodysuit ชุดบอดี้สูทขาสั้น ลายLittle nugget,,,,,,,,,,1,1,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200099,,Striped Body suits บอดี้สูท ลายขวาง,,,,,,,,,,1,1,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200098,,Car Pants กางเกงขาสั้น ลายรถ,,,,,,,,,,1,1,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
